# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.LoggerConfigBenchmark.logWithCountersAndLock

Iteration  14: 29160879.577 ops/s
Iteration  15: 29350423.169 ops/s
Iteration  16: 30209591.899 ops/s
Iteration  17: 28578729.282 ops/s
Iteration  18: 24701812.280 ops/s
Iteration  19: 29775816.210 ops/s
Iteration  20: 30175601.786 ops/s

# Run progress: 26.00% complete, ETA 00:24:55
# Fork: 4 of 10
# Warmup Iteration   1: 29921309.782 ops/s
# Warmup Iteration   2: 32346903.008 ops/s
# Warmup Iteration   3: 32341409.695 ops/s
# Warmup Iteration   4: 32368643.014 ops/s
# Warmup Iteration   5: 31295359.136 ops/s
# Warmup Iteration   6: 29799167.350 ops/s
# Warmup Iteration   7: 32363404.544 ops/s
# Warmup Iteration   8: 32343496.256 ops/s
# Warmup Iteration   9: 32426808.575 ops/s
# Warmup Iteration  10: 32357438.108 ops/s
# Warmup Iteration  11: 32357312.583 ops/s
# Warmup Iteration  12: 32339187.742 ops/s
# Warmup Iteration  13: 32390359.798 ops/s
# Warmup Iteration  14: 32447807.150 ops/s
# Warmup Iteration  15: 32479340.561 ops/s
# Warmup Iteration  16: 32478080.901 ops/s
# Warmup Iteration  17: 32477844.854 ops/s
# Warmup Iteration  18: 32480546.032 ops/s
# Warmup Iteration  19: 32474170.291 ops/s
# Warmup Iteration  20: 32477731.978 ops/s
Iteration   1: 32479341.877 ops/s
Iteration   2: 32474867.871 ops/s
Iteration   3: 32480621.277 ops/s
Iteration   4: 32440825.485 ops/s
Iteration   5: 32353903.889 ops/s
Iteration   6: 32362601.800 ops/s
Iteration   7: 32332506.360 ops/s
